,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,0.23
VMAX1,nan,3.52E-08,2.73E-03,2.20E-02,5.19E-02,8.48E-02,1.19E-01,1.53E-01,1.87E-01,2.22E-01,2.56E-01,2.90E-01,3.25E-01,3.61E-01,4.00E-01,4.42E-01,4.85E-01,5.11E-01,nan,nan,nan,7.15E-02
VMAX2,nan,3.72E-05,4.94E-03,2.46E-02,5.22E-02,8.25E-02,1.14E-01,1.45E-01,1.77E-01,2.09E-01,2.41E-01,2.73E-01,3.05E-01,3.37E-01,3.69E-01,4.02E-01,4.35E-01,4.50E-01,nan,nan,nan,7.02E-02
VMAX3,nan,3.22E-08,2.99E-03,2.36E-02,5.37E-02,8.61E-02,1.19E-01,1.52E-01,1.85E-01,2.18E-01,2.52E-01,2.85E-01,3.18E-01,3.51E-01,3.57E-01,nan,nan,nan,nan,nan,nan,7.30E-02
VMAX4,nan,3.34E-04,1.79E-02,4.77E-02,7.98E-02,1.12E-01,1.43E-01,1.74E-01,2.05E-01,2.36E-01,2.67E-01,2.99E-01,3.31E-01,3.64E-01,3.98E-01,4.32E-01,4.68E-01,nan,nan,nan,nan,9.90E-02
VMAX5,nan,1.27E-05,5.05E-03,2.59E-02,5.47E-02,8.60E-02,1.18E-01,1.50E-01,1.83E-01,2.16E-01,2.49E-01,2.82E-01,3.16E-01,3.50E-01,3.86E-01,4.05E-01,nan,nan,nan,nan,nan,7.33E-02
VMAX6,nan,3.37E-07,3.66E-03,2.39E-02,5.44E-02,8.80E-02,1.23E-01,1.58E-01,1.93E-01,2.28E-01,2.63E-01,2.98E-01,3.32E-01,3.69E-01,4.08E-01,4.21E-01,nan,nan,nan,nan,nan,7.43E-02
VMAX7,nan,3.92E-07,5.60E-03,2.91E-02,6.04E-02,9.37E-02,1.28E-01,1.62E-01,1.96E-01,2.30E-01,2.64E-01,2.98E-01,3.31E-01,3.65E-01,3.99E-01,4.33E-01,4.60E-01,nan,nan,nan,nan,8.03E-02
VMAX8,nan,3.58E-04,1.57E-02,4.53E-02,7.80E-02,1.12E-01,1.46E-01,1.80E-01,2.14E-01,2.48E-01,2.82E-01,3.16E-01,3.51E-01,3.91E-01,4.34E-01,4.77E-01,5.04E-01,nan,nan,nan,nan,9.82E-02
VMAX9,nan,2.70E-04,1.47E-02,4.25E-02,7.36E-02,1.06E-01,1.38E-01,1.70E-01,2.02E-01,2.34E-01,2.67E-01,3.00E-01,3.33E-01,3.72E-01,4.15E-01,4.57E-01,5.00E-01,5.30E-01,nan,nan,nan,9.27E-02
VMAX10,nan,2.98E-05,4.88E-03,2.71E-02,5.92E-02,9.43E-02,1.31E-01,1.67E-01,2.04E-01,2.40E-01,2.76E-01,3.12E-01,3.54E-01,3.97E-01,4.40E-01,4.76E-01,nan,nan,nan,nan,nan,8.01E-02
